id,title,description,thumbnail,created_at,updated_at,lessons,duration
1,Nature Guide Training,Ex sint ullam sit officiis. Quia id non unde ratione qui commodi necessitatibus. Aut voluptatibus ullam explicabo laboriosam harum quia itaque.,https://via.placeholder.com/640x480.png?text=nature-guide-training,2025-05-15 09:55:54,2025-05-15 09:55:54,0,
2,Wildlife Conservation Basics,Dolores et officia amet libero nostrum voluptas. Qui omnis ut eum ratione. Vero quam est blanditiis aut aut velit quia. Ut sint excepturi nihil autem ea corporis accusamus dicta.,https://via.placeholder.com/640x480.png?text=wildlife-conservation-basics,2025-05-15 09:55:55,2025-05-15 09:55:55,0,
3,First Aid for Tour Guides,Quod possimus aliquid harum. Molestias culpa sit in animi rerum.,https://via.placeholder.com/640x480.png?text=first-aid-for-tour-guides,2025-05-15 09:55:55,2025-05-15 09:55:55,0,
4,Effective Communication in Ecotourism,Ut et dignissimos id sit. Et rerum similique quasi maxime voluptates cupiditate rerum. Dolores qui odio magni.,https://via.placeholder.com/640x480.png?text=effective-communication-in-ecotourism,2025-05-15 09:55:55,2025-05-15 09:55:55,0,
5,Advanced Navigation & Orienteering,Culpa praesentium vitae ratione repellendus ut dolor. Est voluptatem dolorem qui dolores nisi non et. Accusamus mollitia eaque dolores magnam.,https://via.placeholder.com/640x480.png?text=advanced-navigation-orienteering,2025-05-15 09:55:55,2025-05-15 09:55:55,0,
6,Local Flora and Fauna Identification,Quisquam excepturi corporis a. Nostrum officiis consequatur sequi numquam ut. Voluptas sunt saepe voluptas est ipsum veniam.,https://via.placeholder.com/640x480.png?text=local-flora-and-fauna-identification,2025-05-15 09:55:55,2025-05-15 09:55:55,0,
7,Conflict Management in the Field,Quis voluptatibus nam modi dolorem ipsum. Odio mollitia cum minima architecto modi. Amet consequuntur inventore quidem mollitia. In quidem quae quia distinctio enim a.,https://via.placeholder.com/640x480.png?text=conflict-management-in-the-field,2025-05-15 09:55:55,2025-05-15 09:55:55,0,
8,Cultural Awareness and Ethics,Aliquid ut minus natus est culpa. Non corrupti voluptas tempore quod qui. Voluptas corrupti ratione et exercitationem mollitia provident voluptatem. Quae aut vitae sunt voluptatem.,https://via.placeholder.com/640x480.png?text=cultural-awareness-and-ethics,2025-05-15 09:55:55,2025-05-15 09:55:55,0,
9,Sustainable Tourism Practices,Sed aut possimus fugit fugit. Quasi possimus non totam repellat voluptates. Repudiandae distinctio et id tenetur eaque.,https://via.placeholder.com/640x480.png?text=sustainable-tourism-practices,2025-05-15 09:55:55,2025-05-15 09:55:55,0,
10,Tour Planning & Guest Safety,Aut totam voluptas tempora doloribus nisi qui. Placeat et fugit quasi numquam et. Voluptatum eligendi provident sed.,https://via.placeholder.com/640x480.png?text=tour-planning-guest-safety,2025-05-15 09:55:55,2025-05-15 09:55:55,0,
