quiz_id,guide_id,total_score,time_taken,created_at,updated_at
8,3,74,376,2025-05-15 11:24:01,2025-05-15 11:24:01
9,3,77,453,2025-05-15 11:24:01,2025-05-15 11:24:01
10,3,64,743,2025-05-15 11:24:01,2025-05-15 11:24:01
1,4,80,1005,2025-05-15 11:24:01,2025-05-15 11:24:01
7,4,74,1123,2025-05-15 11:24:01,2025-05-15 11:24:01
10,4,88,700,2025-05-15 11:24:01,2025-05-15 11:24:01
1,5,70,302,2025-05-15 11:24:01,2025-05-15 11:24:01
4,5,78,815,2025-05-15 11:24:01,2025-05-15 11:24:01
7,5,92,451,2025-05-15 11:24:01,2025-05-15 11:24:01
6,14,92,514,2025-05-15 11:24:01,2025-05-15 11:24:01
9,14,80,850,2025-05-15 11:24:01,2025-05-15 11:24:01
10,14,75,984,2025-05-15 11:24:01,2025-05-15 11:24:01
5,15,97,752,2025-05-15 11:24:01,2025-05-15 11:24:01
6,15,70,1078,2025-05-15 11:24:01,2025-05-15 11:24:01
10,15,63,1038,2025-05-15 11:24:01,2025-05-15 11:24:01
2,22,70,911,2025-05-15 11:24:01,2025-05-15 11:24:01
5,22,60,445,2025-05-15 11:24:01,2025-05-15 11:24:01
8,22,80,901,2025-05-15 11:24:01,2025-05-15 11:24:01
2,23,60,767,2025-05-15 11:24:01,2025-05-15 11:24:01
7,23,75,1005,2025-05-15 11:24:01,2025-05-15 11:24:01
10,23,93,1118,2025-05-15 11:24:01,2025-05-15 11:24:01
1,24,66,523,2025-05-15 11:24:01,2025-05-15 11:24:01
9,24,75,367,2025-05-15 11:24:01,2025-05-15 11:24:01
10,24,98,1119,2025-05-15 11:24:01,2025-05-15 11:24:01
1,26,71,652,2025-05-15 11:24:01,2025-05-15 11:24:01
2,26,61,1114,2025-05-15 11:24:01,2025-05-15 11:24:01
8,26,62,684,2025-05-15 11:24:01,2025-05-15 11:24:01
4,29,82,1063,2025-05-15 11:24:01,2025-05-15 11:24:01
6,29,67,609,2025-05-15 11:24:01,2025-05-15 11:24:01
8,29,96,711,2025-05-15 11:24:01,2025-05-15 11:24:01
5,34,94,1047,2025-05-15 11:24:01,2025-05-15 11:24:01
6,34,61,438,2025-05-15 11:24:01,2025-05-15 11:24:01
10,34,77,749,2025-05-15 11:24:01,2025-05-15 11:24:01
1,36,93,381,2025-05-15 11:24:01,2025-05-15 11:24:01
2,36,66,521,2025-05-15 11:24:01,2025-05-15 11:24:01
7,36,79,316,2025-05-15 11:24:01,2025-05-15 11:24:01
4,42,64,1060,2025-05-15 11:24:01,2025-05-15 11:24:01
5,42,85,1139,2025-05-15 11:24:01,2025-05-15 11:24:01
10,42,61,950,2025-05-15 11:24:01,2025-05-15 11:24:01
3,47,69,918,2025-05-15 11:24:01,2025-05-15 11:24:01
5,47,85,647,2025-05-15 11:24:01,2025-05-15 11:24:01
7,47,88,596,2025-05-15 11:24:01,2025-05-15 11:24:01
2,48,93,685,2025-05-15 11:24:01,2025-05-15 11:24:01
3,48,92,494,2025-05-15 11:24:01,2025-05-15 11:24:01
4,48,91,417,2025-05-15 11:24:01,2025-05-15 11:24:01
1,51,65,350,2025-05-15 11:24:01,2025-05-15 11:24:01
7,51,79,539,2025-05-15 11:24:01,2025-05-15 11:24:01
8,51,60,419,2025-05-15 11:24:01,2025-05-15 11:24:01
4,52,73,1040,2025-05-15 11:24:02,2025-05-15 11:24:02
5,52,69,563,2025-05-15 11:24:02,2025-05-15 11:24:02
8,52,78,427,2025-05-15 11:24:02,2025-05-15 11:24:02
4,54,60,774,2025-05-15 11:24:02,2025-05-15 11:24:02
7,54,97,733,2025-05-15 11:24:02,2025-05-15 11:24:02
8,54,85,401,2025-05-15 11:24:02,2025-05-15 11:24:02
4,55,63,1090,2025-05-15 11:24:02,2025-05-15 11:24:02
6,55,73,782,2025-05-15 11:24:02,2025-05-15 11:24:02
9,55,87,363,2025-05-15 11:24:02,2025-05-15 11:24:02
2,56,74,685,2025-05-15 11:24:02,2025-05-15 11:24:02
7,56,74,724,2025-05-15 11:24:02,2025-05-15 11:24:02
8,56,74,1195,2025-05-15 11:24:02,2025-05-15 11:24:02
